sim_ID	Ls	Le	Len_a	Len_u	Len_b	Len_m	Len_c	Lambda	P_delay_au	P_delay_ub	P_delay_bm	P_delay_mc	P_s2p_u	P_p2s_u	P_s2p_m	P_p2s_m	P_smove	P_pmove_u	P_pmove_m	P_sdeath	P_edeath	TTime	SRNA_started	SRNA_passed_au	PRNA_started_u	PRNA_dropped_u	PRNA_finished_u	SRNA_passed_bm	PRNA_started_m	PRNA_dropped_m	PRNA_finished_m	SRNA_dropped	SRNA_end	SRNA_kicked_u	SRNA_kicked_m
20221018-175557-578346	10	10	50	30	50	500	50	0.0	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	0	0	0	0	0	0	0	0	0	0	0	0	0
20221018-175607-082286	10	10	50	30	50	500	50	0.001	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	995	995	0	0	0	995	0	0	0	0	994	0	0
20221018-175617-824544	10	10	50	30	50	500	50	0.002	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	1921	1921	0	0	0	1920	0	0	0	0	1914	0	0
20221018-175628-641033	10	10	50	30	50	500	50	0.003	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	2783	2782	0	0	0	2781	0	0	0	0	2777	0	0
20221018-175639-919187	10	10	50	30	50	500	50	0.004	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	3506	3506	0	0	0	3502	0	0	0	0	3492	0	0
20221018-175651-407208	10	10	50	30	50	500	50	0.005	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	4286	4284	0	0	0	4282	0	0	0	0	4276	0	0
20221018-175703-234855	10	10	50	30	50	500	50	0.006	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	5042	5040	0	0	0	5039	0	0	0	0	5034	0	0
20221018-175714-672822	10	10	50	30	50	500	50	0.007	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	5694	5694	0	0	0	5693	0	0	0	0	5683	0	0
20221018-175727-038046	10	10	50	30	50	500	50	0.008	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	6385	6385	0	0	0	6385	0	0	0	0	6375	0	0
20221018-175738-848079	10	10	50	30	50	500	50	0.009	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	6774	6773	0	0	0	6772	0	0	0	0	6758	0	0
20221018-175751-048064	10	10	50	30	50	500	50	0.01	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	7569	7568	0	0	0	7566	0	0	0	0	7549	0	0
20221018-175804-473247	10	10	50	30	50	500	50	0.011	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	8099	8098	0	0	0	8095	0	0	0	0	8081	0	0
20221018-175816-981785	10	10	50	30	50	500	50	0.012	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	8481	8478	0	0	0	8476	0	0	0	0	8453	0	0
20221018-175829-355744	10	10	50	30	50	500	50	0.013	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	9050	9047	0	0	0	9045	0	0	0	0	9023	0	0
20221018-175840-845786	10	10	50	30	50	500	50	0.014	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	9654	9652	0	0	0	9651	0	0	0	0	9635	0	0
20221018-175854-256669	10	10	50	30	50	500	50	0.015	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	10053	10052	0	0	0	10050	0	0	0	0	10030	0	0
20221018-175558-873293	10	10	50	30	50	500	50	0.016	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	10484	10482	0	0	0	10479	0	0	0	0	10463	0	0
20221018-175611-353026	10	10	50	30	50	500	50	0.017	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	10832	10830	0	0	0	10827	0	0	0	0	10804	0	0
20221018-175624-354482	10	10	50	30	50	500	50	0.018	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	11202	11201	0	0	0	11198	0	0	0	0	11179	0	0
20221018-175637-593782	10	10	50	30	50	500	50	0.019	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	11524	11523	0	0	0	11521	0	0	0	0	11499	0	0
20221018-175649-751419	10	10	50	30	50	500	50	0.02	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	11821	11819	0	0	0	11816	0	0	0	0	11795	0	0
20221018-175702-687054	10	10	50	30	50	500	50	0.021	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	12302	12299	0	0	0	12297	0	0	0	0	12272	0	0
20221018-175715-131609	10	10	50	30	50	500	50	0.022	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	12485	12484	0	0	0	12481	0	0	0	0	12464	0	0
20221018-175728-740832	10	10	50	30	50	500	50	0.023	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	12789	12786	0	0	0	12783	0	0	0	0	12760	0	0
20221018-175743-185859	10	10	50	30	50	500	50	0.024	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	13144	13143	0	0	0	13141	0	0	0	0	13112	0	0
20221018-175756-669476	10	10	50	30	50	500	50	0.025	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	13480	13477	0	0	0	13473	0	0	0	0	13448	0	0
