sim_ID	Ls	Le	Len_a	Len_u	Len_b	Len_m	Len_c	Lambda	P_delay_au	P_delay_ub	P_delay_bm	P_delay_mc	P_s2p_u	P_p2s_u	P_s2p_m	P_p2s_m	P_smove	P_pmove_u	P_pmove_m	P_sdeath	P_edeath	TTime	SRNA_started	SRNA_passed_au	PRNA_started_u	PRNA_dropped_u	PRNA_finished_u	SRNA_passed_bm	PRNA_started_m	PRNA_dropped_m	PRNA_finished_m	SRNA_dropped	SRNA_end	SRNA_kicked_u	SRNA_kicked_m
20221018-175552-391235	10	10	50	30	50	500	50	0.0	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	0	0	0	0	0	0	0	0	0	0	0	0	0
20221018-175604-924045	10	10	50	30	50	500	50	0.0002	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	178	178	0	0	0	177	0	0	0	0	177	0	0
20221018-175615-984016	10	10	50	30	50	500	50	0.0004	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	404	404	0	0	0	404	0	0	0	0	403	0	0
20221018-175628-821842	10	10	50	30	50	500	50	0.0006	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	589	589	0	0	0	589	0	0	0	0	588	0	0
20221018-175641-795764	10	10	50	30	50	500	50	0.0008	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	818	818	0	0	0	817	0	0	0	0	817	0	0
20221018-175654-035925	10	10	50	30	50	500	50	0.001	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	992	992	0	0	0	992	0	0	0	0	990	0	0
20221018-175707-899274	10	10	50	30	50	500	50	0.0012	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	1136	1136	0	0	0	1136	0	0	0	0	1132	0	0
20221018-175721-086703	10	10	50	30	50	500	50	0.0014	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	1295	1295	0	0	0	1295	0	0	0	0	1291	0	0
20221018-175733-721352	10	10	50	30	50	500	50	0.0016	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	1542	1542	0	0	0	1542	0	0	0	0	1539	0	0
20221018-175744-968577	10	10	50	30	50	500	50	0.0018	1.1	1.1	1.1	1.1	0.0	0	0.0	0	0.3	0.3	0.5	0	0	1000000	1656	1656	0	0	0	1654	0	0	0	0	1650	0	0
