sample3,sample2,gene,mean_PM_ratio,std_PM_ratio,rep_mean_PM_ratio,rep_std_PM_ratio,temp,line
29_D9,29_D9_rep4,rp49,1.000754826,0.01973436,1.001220591,0.00057993,29,D9
29_D9,29_D9_rep5,rp49,1.004085474,0.032499803,1.001220591,0.00057993,29,D9
29_D9,29_D9_rep6,rp49,1.000930115,0.015452863,1.001220591,0.00057993,29,D9
29_w1118,29_w1118_rep1,bcd,1.694287211,0.044928649,1.341009777,0.229986088,29,w1118
29_w1118,29_w1118_rep2,bcd,0.353812477,0.001162082,1.341009777,0.229986088,29,w1118
29_w1118,29_w1118_rep3,bcd,1.217322468,0.006971334,1.341009777,0.229986088,29,w1118
29_w1118,29_w1118_rep4,bcd,2.010176868,0.040277277,1.341009777,0.229986088,29,w1118
29_w1118,29_w1118_rep5,bcd,1.284109593,0.042300062,1.341009777,0.229986088,29,w1118
29_w1118,29_w1118_rep6,bcd,1.486350048,0.043250909,1.341009777,0.229986088,29,w1118
29_w1118,29_w1118_rep1,rp49,1.001677722,0.04116278,1.001511557,0.000657337,29,w1118
29_w1118,29_w1118_rep2,rp49,1.004663367,0.069716,1.001511557,0.000657337,29,w1118
29_w1118,29_w1118_rep3,rp49,1.000668574,0.024290016,1.001511557,0.000657337,29,w1118
29_w1118,29_w1118_rep4,rp49,1.000682687,0.025038813,1.001511557,0.000657337,29,w1118
29_w1118,29_w1118_rep5,rp49,1.00104117,0.028070011,1.001511557,0.000657337,29,w1118
29_w1118,29_w1118_rep6,rp49,1.000335824,0.014179079,1.001511557,0.000657337,29,w1118
