tr,id,mel_lte_uorf,mel_lte_SE_uorf,sim_lte_uorf,sim_lte_SE_uorf,log2Beta_uorf,SE_log2Beta_uorf,p_log2Beta_uorf,adj_P_log2Beta_uorf,mel_lte_cds,mel_lte_SE_cds,sim_lte_cds,sim_lte_SE_cds,log2Beta_cds,SE_log2Beta_cds,p_log2Beta_cds,adj_P_log2Beta_cds,log2Gamma,SE_log2Gamma,p_log2Gamma,adj_P_log2Gamma
FBtr0006151,FBtr0006151_1039,-5.33964997990593,1.92974253220399,-4.43997392885136,3.47597962254597,0.89967605105458,3.97571887549307,0.820973796774805,0.932004127464789,0.803314175149911,0.782875528105672,0.639920922840326,0.659929261282405,-0.163393252309585,1.02391441165923,0.873214250230208,0.952698786219902,-1.06306930336416,4.10545263026568,0.795680896007025,0.969894961596844
FBtr0006151,FBtr0006151_1048,-4.80910475359151,2.13646514516469,-4.43997392885136,3.47597962254597,0.369130824740151,4.08006343735712,0.9279122748261,0.972708795175943,0.803314175149911,0.782875528105672,0.639920922840326,0.659929261282405,-0.163393252309585,1.02391441165923,0.873214250230208,0.952698786219902,-0.532524077049736,4.20658036595783,0.899262453112752,0.984606790068301
FBtr0006151,FBtr0006151_1060,-4.22410838241166,2.44734067440605,-4.43997392885136,3.47597962254597,-0.215865546439692,4.25110699853074,0.959501890251811,0.983499632497562,0.803314175149911,0.782875528105672,0.639920922840326,0.659929261282405,-0.163393252309585,1.02391441165923,0.873214250230208,0.952698786219902,0.0524722941301065,4.37267783347465,0.990425585839554,0.999342265768701
FBtr0070026,FBtr0070026_78,1.15694876134874,0.477844926752449,1.17239909442908,1.82187151697749,0.0154503330803422,1.88349451775069,0.993455014677993,0.998627502586899,-0.3944533704916,0.084039467372749,-0.874527461419974,0.206172546981042,-0.480074090928374,0.222642653606503,0.031063844566106,0.119247029864529,-0.495524424008716,1.89660785340614,0.793885238947477,0.969779839380469
FBtr0070028,FBtr0070028_236,-1.98485905844774,0.205020418678106,-3.13285233836884,0.310455590922156,-1.14799327992111,0.372043070100454,0.00203110353920674,0.0131378226742134,0.763769588271057,0.105316811165152,-0.397676453415155,0.0840138333626025,-1.16144604168621,0.134721768509308,6.63302907231637e-18,5.28322252836248e-16,-0.0134527617651043,0.39568421868966,0.972878161719993,0.996883433529384
FBtr0070028,FBtr0070028_388,-0.612917312980557,0.23311405527517,-1.64603279248653,0.377478930818026,-1.03311547950597,0.443658095810676,0.0198786839783528,0.0850193076868536,0.763769588271057,0.105316811165152,-0.397676453415155,0.0840138333626025,-1.16144604168621,0.134721768509308,6.63302907231637e-18,5.28322252836248e-16,-0.128330562180241,0.463662011478868,0.781952035734605,0.966911537656123
FBtr0070028,FBtr0070028_394,-0.833709607478655,0.245498047142612,-1.81853406044193,0.398475456641676,-0.984824452963274,0.468029892951965,0.0353617586564966,0.131400744195961,0.763769588271057,0.105316811165152,-0.397676453415155,0.0840138333626025,-1.16144604168621,0.134721768509308,6.63302907231637e-18,5.28322252836248e-16,-0.176621588722938,0.4870338136176,0.716868231933021,0.948789054175988
FBtr0070028,FBtr0070028_60,1.29363693490336,0.432663352687117,-4.11294926621436,1.23961564071053,-5.40658620111772,1.31295259375677,3.82367415933067e-05,0.000402346566457532,0.763769588271057,0.105316811165152,-0.397676453415155,0.0840138333626025,-1.16144604168621,0.134721768509308,6.63302907231637e-18,5.28322252836248e-16,4.2451401594315,1.31984638059242,0.00129814473376172,0.0428442536180766
FBtr0070045,FBtr0070045_35,1.61922760065343,0.293982903753053,0.928489355052093,0.841220505311436,-0.690738245601334,0.891110479264779,0.4382550356393,0.704265217877802,2.69070648043836,0.214314411474552,2.68639264812373,0.211367734978403,-0.00431383231463078,0.30100994394801,0.988565751879166,0.995771368031516,0.686424413286703,0.940576882881505,0.465518031521979,0.862574269171198
FBtr0070066,FBtr0070066_100,0.272805201356448,0.949322185919862,-1.99740599218799,3.04641182711901,-2.27021119354444,3.1908991888009,0.476796500620837,0.735591022672396,0.0469817188325,0.138928846324961,0.73316835101465,0.246826347407492,0.68618663218215,0.283239245366366,0.0154082013897954,0.0694973268373658,2.95639782572659,3.20344534887142,0.356069389257638,0.795375621713311
FBtr0070088,FBtr0070088_71,-1.63931767192117,4.39787870632647,-4.43997392885136,3.47597962254597,-2.80065625693019,5.60569098790815,0.617350094283057,0.828425234519186,-1.65610884309799,0.503088960688856,-0.573007901295704,0.593199597824097,1.08310094180229,0.777807344543406,0.16376940198331,0.391082564940516,3.88375719873248,5.65939534907575,0.492555791413487,0.869819992271532
FBtr0070091,FBtr0070091_146,0.333828240444824,0.369035229966073,1.98737874896328,0.647666004009485,1.65355050851846,0.745424881329921,0.026536715711949,0.105657326818825,1.19232661087296,0.130607415608861,1.84677772247428,0.170388084538213,0.654451111601313,0.214686740076389,0.00230063279493049,0.0145786085278471,-0.999099396917142,0.775724596793445,0.197761168696285,0.651301264399053
