id,mel_nor_mrna,mel_nor_rpf,mel_lte,mel_lte_SE,sim_nor_mrna,sim_nor_rpf,sim_lte,sim_lte_SE,log2Beta,SE_log2Beta,p_log2Beta,adj_P_log2Beta
FBtr0006151,27.0736175866981,47.5370532171634,0.812172256208252,0.511969158972422,2.6646976320831,9.75720460248797,1.87247958490262,1.3960678828212,1.06030732869437,1.48698283553772,0.475808901350382,0.660676530944919
FBtr0006151_1039,123.882310775498,0,-9.10981927132198,1.44716790039445,31.9763715849972,0,-7.85546390830085,1.72470881135125,1.25435536302113,2.25142519659987,0.577432893915133,0.746960505156909
FBtr0006151_1048,100.090343805369,0,-8.80215090336887,1.45939336068355,15.9881857924986,0,-6.85543943054715,1.83561932163929,1.94671147282172,2.34506445011277,0.406464534709073,0.595892953971409
FBtr0006151_1060,59.0697110982505,0,-8.04133167747132,1.50875957925067,13.3234881604155,0,-6.59239533819282,1.88200342237367,1.4489363392785,2.41211366850878,0.548045436878626,0.724400540325507
FBtr0070007,1235.54145713841,1986.80504471734,0.685314534273928,0.111769367536504,1049.89086704074,691.260418376263,-0.602926999356168,0.115289459492406,-1.2882415336301,0.160574129266084,1.03427590845138e-15,2.23186595558058e-14
FBtr0070008,1296.25199354494,730.120381463613,-0.828129254681056,0.104306483832053,692.821384341606,137.351418635023,-2.33459351635757,0.201975430057836,-1.50646426167652,0.227318976146855,3.42359241658384e-11,4.64266098341365e-10
FBtr0070026,2093.69309337132,2391.47944646345,0.19186216531335,0.0872231306979609,1498.89241804674,1116.07409568458,-0.425453014430126,0.0909735622554705,-0.617315179743476,0.126031994184824,9.67761126952093e-07,7.47725292185083e-06
FBtr0070026_78,36.9185694364065,32.9102676118824,-0.16579547118793,0.550226279516484,25.3146275047894,8.2560962021052,-1.61641371587696,0.814191326485678,-1.45061824468903,0.982678215284668,0.139893305685077,0.27528513712833
FBtr0070027,3962.59311950764,843.477969904541,-2.23200508740451,0.124369067723682,3248.2664135093,210.905730253778,-3.94496961883126,0.212594788008067,-1.71296453142675,0.246301053377067,3.53164599725118e-12,5.36315828863485e-11
FBtr0070028,3101.15983265815,8524.97821027798,1.45889625962189,0.143762114328044,3695.93561569926,2807.82326291596,-0.39647552039588,0.0860845552456208,-1.85537178001777,0.167565199751935,1.7050514292284e-28,9.96542789208434e-27
