tr,id,mel_lte_uorf,mel_lte_SE_uorf,sim_lte_uorf,sim_lte_SE_uorf,log2Beta_uorf,SE_log2Beta_uorf,p_log2Beta_uorf,adj_P_log2Beta_uorf,mel_lte_cds,mel_lte_SE_cds,sim_lte_cds,sim_lte_SE_cds,log2Beta_cds,SE_log2Beta_cds,p_log2Beta_cds,adj_P_log2Beta_cds,log2Gamma,SE_log2Gamma,p_log2Gamma,adj_P_log2Gamma
FBtr0006151,FBtr0006151_1039,-4.8526567273851,0.284259895381343,-6.27876243444848,0.790591289142019,-1.42610570706338,0.840141818141112,0.0896100474020923,0.281769929897783,1.03291468112269,0.471966160416496,-1.27877761628209,1.13319659012904,-2.31169229740478,1.22755308172737,0.0596772051686467,0.211525904208597,-0.885586590341398,1.48752305630798,0.551614150332283,0.998692513276662
FBtr0006151,FBtr0006151_1048,-5.2018715665736,0.321801530954807,-5.88210503695577,0.808551883008371,-0.680233470382165,0.870236963614647,0.434411682541093,0.739421136415927,1.03291468112269,0.471966160416496,-1.27877761628209,1.13319659012904,-2.31169229740478,1.22755308172737,0.0596772051686467,0.211525904208597,-1.63145882702262,1.50472553686698,0.278265703088637,0.998692513276662
FBtr0006151,FBtr0006151_1060,-5.06916932618481,0.331362045384866,-4.93587862570004,0.895996257688448,0.133290700484775,0.955306285394033,0.889033986041525,0.973906699961925,1.03291468112269,0.471966160416496,-1.27877761628209,1.13319659012904,-2.31169229740478,1.22755308172737,0.0596772051686467,0.211525904208597,-2.44498299788956,1.55547313296364,0.115983470442671,0.998692513276662
FBtr0006151,FBtr0006151_1117,-4.94561773342344,2.27168716813652,-2.02096288803712,4.34606920885901,2.92465484538632,4.90396575824796,0.550917619354106,0.82055554955376,1.03291468112269,0.471966160416496,-1.27877761628209,1.13319659012904,-2.31169229740478,1.22755308172737,0.0596772051686467,0.211525904208597,-5.2363471427911,5.05527118229348,0.300286480873742,0.998692513276662
FBtr0006151,FBtr0006151_1132,-4.68256488226544,2.4186126073537,-2.02096288803712,4.34606920885901,2.66160199422832,4.97373144757964,0.592558703520575,0.846258502955345,1.03291468112269,0.471966160416496,-1.27877761628209,1.13319659012904,-2.31169229740478,1.22755308172737,0.0596772051686467,0.211525904208597,-4.9732942916331,5.12297677928576,0.331656784927303,0.998692513276662
FBtr0006151,FBtr0006151_1142,-4.36063125741905,2.62436554609951,-2.02096288803712,4.34606920885901,2.33966836938194,5.07696878932169,0.644913673757392,0.871477979478122,1.03291468112269,0.471966160416496,-1.27877761628209,1.13319659012904,-2.31169229740478,1.22755308172737,0.0596772051686467,0.211525904208597,-4.65136066678672,5.22326513363097,0.373193043259934,0.998692513276662
FBtr0070026,FBtr0070026_78,-1.1072013471096,0.530814311613985,-2.57830274189895,1.71894680638795,-1.47110139478935,1.79903917595075,0.413519919494555,0.722510360937467,0.212587142942017,0.127462008416747,0.245963970592319,0.194626683344334,0.0333768276503028,0.232650186888484,0.885924076179196,0.97240437766842,1.50447822243966,1.81401986374593,0.406899884146548,0.998692513276662
FBtr0070028,FBtr0070028_236,-3.49603286664197,0.374948266236359,-2.92626805562765,0.469350878100193,0.56976481101432,0.600729930274057,0.342898290499733,0.658744621514909,-0.667629925061975,0.143618614782769,-1.5043526028699,0.201226677691536,-0.836722677807922,0.247221524804971,0.000713065195482713,0.00568173819512053,-1.40648748882224,0.649611369554112,0.0303783882511219,0.76308337417995
FBtr0070028,FBtr0070028_388,-2.96740523262457,0.387429088776771,-4.12265311534421,0.802468178394184,-1.15524788271964,0.891098466032615,0.194826957573321,0.473186679100977,-0.667629925061975,0.143618614782769,-1.5043526028699,0.201226677691536,-0.836722677807922,0.247221524804971,0.000713065195482713,0.00568173819512053,0.318525204911718,0.924756702323684,0.73051378002398,0.998692513276662
FBtr0070028,FBtr0070028_394,-3.24008776733113,0.419230979219769,-5.64440242255932,1.12425176211384,-2.40431465522819,1.19987359273952,0.0450907788116398,0.172617257775261,-0.667629925061975,0.143618614782769,-1.5043526028699,0.201226677691536,-0.836722677807922,0.247221524804971,0.000713065195482713,0.00568173819512053,1.56759197742027,1.22507759790168,0.200690823776389,0.998692513276662
