tr,id,mel_lte_uorf,mel_lte_SE_uorf,sim_lte_uorf,sim_lte_SE_uorf,log2Beta_uorf,SE_log2Beta_uorf,p_log2Beta_uorf,adj_P_log2Beta_uorf,mel_lte_cds,mel_lte_SE_cds,sim_lte_cds,sim_lte_SE_cds,log2Beta_cds,SE_log2Beta_cds,p_log2Beta_cds,adj_P_log2Beta_cds,log2Gamma,SE_log2Gamma,p_log2Gamma,adj_P_log2Gamma
FBtr0070069,FBtr0070069_222,-2.03810089941777,1.54807173640849,-6.30234747485307,1.99770816723674,-4.26424657543529,2.52732348988236,0.0915537685048653,0.283215441438881,-4.44622733314965,0.481165045532514,-5.16394169923848,0.612325140729104,-0.717714366088832,0.778756623735056,0.356729042679667,0.660750720212463,3.54653220934646,2.64458425872998,0.179902686229961,0.743462704439067
FBtr0070080,FBtr0070080_126,-4.10214389040477,2.22587681636497,-5.0798832343234,2.56326726337105,-0.977739343918638,3.3948294014723,0.773340317795314,0.918557605889909,-2.86122648921629,1.28926220495307,-2.37433226941234,1.63411496534681,0.486894219803953,2.0814727365716,0.815048534344892,0.935591929957291,1.46463356372259,3.98213453039844,0.71302152944437,0.984630573376876
FBtr0070080,FBtr0070080_92,-3.10218124738683,2.8658014216433,0.532485795658015,2.39242772030346,3.63466704304484,3.73316597342915,0.330247648685593,0.635217395626824,-2.86122648921629,1.28926220495307,-2.37433226941234,1.63411496534681,0.486894219803953,2.0814727365716,0.815048534344892,0.935591929957291,-3.14777282324089,4.27423173661186,0.461454770348676,0.942428413830052
FBtr0070091,FBtr0070091_146,1.92529922657069,0.781344841258812,2.06300242299399,1.06687429506045,0.137703196423302,1.32239197003857,0.917064671099057,0.973239537579549,1.31669874916437,0.179902563289421,2.85159267253594,0.269307827388687,1.53489392337156,0.323869785825907,2.14530190783598e-06,3.40502691098392e-05,1.39719072694826,1.36147425998195,0.304781453980987,0.859468242164473
FBtr0070106,FBtr0070106_331,-3.58757583294301,2.52730565684676,-4.49491878062905,2.98742623916909,-0.907342947686045,3.91305372025552,0.816634384674124,0.935591929957291,-0.767019741774032,0.114673870856845,0.88547655544465,0.174272311332742,1.65249629721868,0.208616718300688,2.35215176218736e-15,1.54587075843637e-13,2.55983924490473,3.91861076821367,0.513594008754625,0.963097028221152
FBtr0070123,FBtr0070123_106,0.925306914502026,0.644290234318286,1.11745247569951,1.51898382324265,0.192145561197489,1.64997629113596,0.90729311424663,0.969525418694761,0.929718686958829,0.115377341687164,0.856778749752225,0.110156812763251,-0.0729399372066042,0.159519448259309,0.647492852681724,0.859190981478985,-0.265085498404093,1.65766951340843,0.872948375318669,0.992090077612663
FBtr0070139,FBtr0070139_87,-0.840212200388017,0.8575070053967,-2.85976151917513,1.46090042001787,-2.01954931878711,1.69397411477059,0.233184365610989,0.521351600074029,-1.19612258219299,0.138149011219372,-0.361963360217013,0.153401254585093,0.83415922197598,0.206439081109103,5.32909845298584e-05,0.000614385715028846,2.85370854076309,1.70650678162203,0.0944747372235061,0.599178181326267
FBtr0070140,FBtr0070140_116,-6.56167173337078,1.52400723145333,0.0350075131381519,0.925132648258014,6.59667924650893,1.78282597535344,0.000215493160954472,0.00210703357510539,-2.12768023875022,0.151751914678298,-0.162848262283808,0.202439557142477,1.96483197646641,0.25300280216743,8.09726982324989e-15,4.96489301369157e-13,-4.63184727004252,1.80068844509524,0.0101035618535644,0.192117388323424
FBtr0070146,FBtr0070146_208,-2.33766171825613,1.43566547431416,0.432968655464726,1.05858253150459,2.77063037372086,1.78374110513392,0.120358801197263,0.34257735650922,-0.986582683888036,0.109873375281759,-0.60642363115878,0.143037166997151,0.380159052729255,0.180365711093814,0.0350558707424061,0.142107371868247,-2.3904713209916,1.79283689160023,0.182418390145866,0.747601657895096
FBtr0070146,FBtr0070146_242,-5.36524110445633,1.77116196164628,-0.567016865381794,1.24411991158593,4.79822423907454,2.16445121192123,0.0266345887612807,0.115067084805918,-0.986582683888036,0.109873375281759,-0.60642363115878,0.143037166997151,0.380159052729255,0.180365711093814,0.0350558707424061,0.142107371868247,-4.41806518634528,2.17195323120128,0.0419370995372534,0.408925837569305
