tr,id,mel_lte_uorf,mel_lte_SE_uorf,sim_lte_uorf,sim_lte_SE_uorf,log2Beta_uorf,SE_log2Beta_uorf,p_log2Beta_uorf,adj_P_log2Beta_uorf,mel_lte_cds,mel_lte_SE_cds,sim_lte_cds,sim_lte_SE_cds,log2Beta_cds,SE_log2Beta_cds,p_log2Beta_cds,adj_P_log2Beta_cds,log2Gamma,SE_log2Gamma,p_log2Gamma,adj_P_log2Gamma
FBtr0006151,FBtr0006151_1039,-9.10981927132198,1.44716790039445,-7.85546390830085,1.72470881135125,1.25435536302113,2.25142519659987,0.577432893915133,0.746960505156909,0.812172256208252,0.511969158972422,1.87247958490262,1.3960678828212,1.06030732869437,1.48698283553772,0.475808901350382,0.660676530944919,-0.194048034326759,2.69815369633914,0.942666511367319,0.991461615116623
FBtr0006151,FBtr0006151_1048,-8.80215090336887,1.45939336068355,-6.85543943054715,1.83561932163929,1.94671147282172,2.34506445011277,0.406464534709073,0.595892953971409,0.812172256208252,0.511969158972422,1.87247958490262,1.3960678828212,1.06030732869437,1.48698283553772,0.475808901350382,0.660676530944919,-0.886404144127346,2.77676884676534,0.74955860158538,0.930336630677262
FBtr0006151,FBtr0006151_1060,-8.04133167747132,1.50875957925067,-6.59239533819282,1.88200342237367,1.4489363392785,2.41211366850878,0.548045436878626,0.724400540325507,0.812172256208252,0.511969158972422,1.87247958490262,1.3960678828212,1.06030732869437,1.48698283553772,0.475808901350382,0.660676530944919,-0.388629010584128,2.83362141137285,0.890912835738578,0.978107086689323
FBtr0070026,FBtr0070026_78,-0.16579547118793,0.550226279516484,-1.61641371587696,0.814191326485678,-1.45061824468903,0.982678215284668,0.139893305685077,0.27528513712833,0.19186216531335,0.0872231306979609,-0.425453014430126,0.0909735622554705,-0.617315179743476,0.126031994184824,9.67761126952093e-07,7.47725292185083e-06,0.833303064945556,0.990727277485213,0.400290585349774,0.742945638529211
FBtr0070028,FBtr0070028_236,-2.91928164634972,0.203800689027563,-2.73299812865062,0.234497701490121,0.186283517699102,0.310682945866457,0.548777088309117,0.725004612705655,1.45889625962189,0.143762114328044,-0.39647552039588,0.0860845552456208,-1.85537178001777,0.167565199751935,1.7050514292284e-28,9.96542789208434e-27,-2.04165529771687,0.352990069293975,7.29932160682124e-09,1.60668496168431e-06
FBtr0070028,FBtr0070028_388,-2.02084522370835,0.198004254337162,-0.792527254539153,0.273155121619821,1.2283179691692,0.337371316508613,0.000271740642570761,0.00131987121670601,1.45889625962189,0.143762114328044,-0.39647552039588,0.0860845552456208,-1.85537178001777,0.167565199751935,1.7050514292284e-28,9.96542789208434e-27,-3.08368974918697,0.376692847517258,2.69563373021914e-16,7.43412290485042e-13
FBtr0070028,FBtr0070028_394,-2.25610622987684,0.204899176468107,-1.00602406371483,0.284922993643988,1.25008216616201,0.350948407639016,0.000368024649730349,0.00173744930762414,1.45889625962189,0.143762114328044,-0.39647552039588,0.0860845552456208,-1.85537178001777,0.167565199751935,1.7050514292284e-28,9.96542789208434e-27,-3.10545394617978,0.388899577001913,1.40256514686297e-15,1.80089364857206e-12
FBtr0070028,FBtr0070028_60,-0.559226746973551,0.447047456196625,-1.92308059059231,0.529861698372211,-1.36385384361875,0.693256696681509,0.0491469823648475,0.120913180129981,1.45889625962189,0.143762114328044,-0.39647552039588,0.0860845552456208,-1.85537178001777,0.167565199751935,1.7050514292284e-28,9.96542789208434e-27,-0.491517936399014,0.71322012286647,0.490726858678581,0.807466834527934
FBtr0070045,FBtr0070045_35,1.2726382218329,0.281772427205359,0.897887390226689,0.638563254325971,-0.374750831606209,0.697967571244233,0.591324772332597,0.758748628400519,2.62753956842712,0.211474947221748,3.30541608508149,0.241909711944076,0.67787651665437,0.321312872501721,0.0348834669731219,0.0914010311641486,1.05262734826058,0.768375359146739,0.170705953455821,0.502972993396497
FBtr0070079,FBtr0070079_96,-5.45626823833987,1.9364847634092,-3.2704726785733,3.97367598607294,2.18579555976658,4.42041560050734,0.620969071888609,0.781955866998571,-0.301359255971326,0.0832985649108071,-1.17131986900431,0.111887750889084,-0.86996061303298,0.139490213689769,4.4685696477778e-10,5.32964417553859e-09,-3.05575617279956,4.42261592283616,0.489604110548111,0.806989788925642
FBtr0070091,FBtr0070091_146,-0.898306408339537,0.708441958439962,2.63146765805168,1.21727878367985,3.52977406639122,1.40842381607077,0.0122040907245645,0.03786495455169,0.440480646857469,0.147016413626971,4.51326905342078,0.38720192202133,4.07278840656331,0.414172855572102,8.07240987316989e-23,3.16482425695886e-21,0.543014340172087,1.46805885439518,0.711467472413306,0.914286139695098
FBtr0070103,FBtr0070103_138,-1.0137328423289,2.36268206459547,-1.63525352216293,1.2889603606404,-0.621520679834025,2.69140954699639,0.817371067948704,0.908132740266521,1.96482290444884,0.355844892238543,-0.0574161966996265,0.40155371656353,-2.02223910114847,0.536536088831165,0.000163860573330573,0.000834261530370603,-1.40071842131444,2.74436811019979,0.609773059339523,0.875046758154506
FBtr0070103,FBtr0070103_238,2.89298025200682,1.86039336623573,-3.41280679413863,1.7852471783835,-6.30578704614545,2.57840473259343,0.0144605050706875,0.0436270406399524,1.96482290444884,0.355844892238543,-0.0574161966996265,0.40155371656353,-2.02223910114847,0.536536088831165,0.000163860573330573,0.000834261530370603,4.28354794499698,2.63363663774607,0.103848341135759,0.383114981974197
FBtr0070103,FBtr0070103_308,1.57107985766253,2.48671281581267,0.172058104013373,2.64502597232949,-1.39902175364916,3.63041361591548,0.699969578762979,0.837246500379612,1.96482290444884,0.355844892238543,-0.0574161966996265,0.40155371656353,-2.02223910114847,0.536536088831165,0.000163860573330573,0.000834261530370603,-0.623217347499307,3.66984659042347,0.865150840549403,0.970942981805538
FBtr0070110,FBtr0070110_11,-4.87125814538648,2.16999624164342,-3.2704726785733,3.97367598607294,1.60078546681318,4.52758042789295,0.723666316459678,0.85300101645833,-0.825722219897509,0.284430228845176,1.26782020194865,0.312716448324934,2.09354242184616,0.422719921619363,7.32464487495399e-07,5.77476606144332e-06,0.492756955032974,4.54727134259362,0.913707577197699,0.982991645682318
