id,mel_nor_mrna,mel_nor_rpf,mel_lte,mel_lte_SE,sim_nor_mrna,sim_nor_rpf,sim_lte,sim_lte_SE,log2Beta,SE_log2Beta,p_log2Beta,adj_P_log2Beta
FBtr0006151,12.1118383911561,21.1363454277038,0.803314175149911,0.782875528105672,17.9845000460525,28.0241318195901,0.639920922840326,0.659929261282405,-0.163393252309585,1.02391441165923,0.873214250230208,0.952698786219902
FBtr0006151_1039,9.84086869281435,0,-5.33964997990593,1.92974253220399,1.99827778289472,0,-4.43997392885136,3.47597962254597,0.89967605105458,3.97571887549307,0.820973796774805,0.932004127464789
FBtr0006151_1048,6.81290909502532,0,-4.80910475359151,2.13646514516469,1.99827778289472,0,-4.43997392885136,3.47597962254597,0.369130824740151,4.08006343735712,0.9279122748261,0.972708795175943
FBtr0006151_1060,4.54193939668354,0,-4.22410838241166,2.44734067440605,1.99827778289472,0,-4.43997392885136,3.47597962254597,-0.215865546439692,4.25110699853074,0.959501890251811,0.983499632497562
FBtr0070000,63.5871515535696,34.3465613200187,-0.888559058986997,0.480612064153671,23.9793333947367,6.5056020295477,-1.88201661927185,0.849052715937942,-0.993457560284854,0.975642593705117,0.308554542362948,0.581359922268945
FBtr0070006,32.5505656762321,7.92612953538893,-2.03796874204397,0.748838254057945,83.9276668815784,4.00344740279858,-4.38980508443801,0.716395604632463,-2.35183634239404,1.03633073537229,0.0232447525698799,0.0955061982757821
FBtr0070007,456.464909366696,414.800779018687,-0.138080552928359,0.173648292387224,203.824333855262,121.104283934657,-0.75107095500879,0.276433270242035,-0.612990402080432,0.326449203316082,0.0604152010568582,0.196825898967703
FBtr0070008,140.80012129719,130.781137333917,-0.106488595448319,0.287043568235489,57.950055703947,31.5271482970389,-0.878207107000193,0.503850383921792,-0.771718511551874,0.579878624751334,0.183245725392205,0.420789990228357
FBtr0070026,1861.43816274081,1416.13514365615,-0.3944533704916,0.084039467372749,471.593556763155,257.221495629809,-0.874527461419974,0.206172546981042,-0.480074090928374,0.222642653606503,0.031063844566106,0.119247029864529
FBtr0070026_78,27.2516363801013,60.7669931046484,1.15694876134874,0.477844926752449,1.99827778289472,4.50387832814841,1.17239909442908,1.82187151697749,0.0154503330803422,1.88349451775069,0.993455014677993,0.998627502586899
FBtr0070027,1172.5773542438,457.073469874095,-1.35917764582407,0.125590349566609,485.581501243418,133.615057068403,-1.86162276639044,0.227139121215077,-0.502445120566366,0.259547907505764,0.0528864036616175,0.178315926696593
FBtr0070028,2071.88135478714,3517.88049212345,0.763769588271057,0.105316811165152,1864.39317144078,1415.2186568893,-0.397676453415155,0.0840138333626025,-1.16144604168621,0.134721768509308,6.63302907231637e-18,5.28322252836248e-16
FBtr0070028_236,622.245697345646,157.201569118547,-1.98485905844774,0.205020418678106,267.769222907893,30.5262864463392,-3.13285233836884,0.310455590922156,-1.14799327992111,0.372043070100454,0.00203110353920674,0.0131378226742134
FBtr0070028_388,305.066929477245,199.474259973955,-0.612917312980557,0.23311405527517,115.900111407894,37.0318884758869,-1.64603279248653,0.377478930818026,-1.03311547950597,0.443658095810676,0.0198786839783528,0.0850193076868536
FBtr0070028_394,299.011010281667,167.769741832399,-0.833709607478655,0.245498047142612,105.90872249342,30.0258555209894,-1.81853406044193,0.398475456641676,-0.984824452963274,0.468029892951965,0.0353617586564966,0.131400744195961
FBtr0070028_60,31.7935757767848,77.9402737646578,1.29363693490336,0.432663352687117,25.9776111776314,1.50129277604947,-4.11294926621436,1.23961564071053,-5.40658620111772,1.31295259375677,3.82367415933067e-05,0.000402346566457532
